method_name,num_steps,num_groups,num_removes,total_constraints,avg_constraints_per_step,min_constraints_per_step,max_constraints_per_step,constraints_per_step_range,constraints_per_step_std,step_entropy,num_cache_alg_steps,num_free_layer_steps,symmetry_depth,num_symmetry_orientations,total_step_face_overlap_score,avg_step_face_overlap_score,min_step_face_overlap_score,max_step_face_overlap_score,step_face_overlap_score_range,step_face_overlap_score_std,num_zero_face_overlap_steps,fraction_zero_face_overlap_steps,avg_distinct_faces_per_step,min_distinct_faces_per_step,max_distinct_faces_per_step,num_edge_only_steps,num_corner_only_steps,num_mixed_piece_type_steps,fraction_mixed_piece_type_steps,avg_adjacent_step_face_overlap,max_adjacent_step_face_overlap,score
rand_b089e74e,5,0,0,20,4.0,3,6,3,1.1,2.271,0,0,1,0,21,4.2,1,8,7,2.48,0,0.0,5.4,4,6,2,0,3,0.6,4.75,6,0.012595
rand_472c54bf,4,0,0,20,5.0,4,8,4,1.73,1.9219,0,0,1,0,25,6.25,3,13,10,3.96,0,0.0,5.75,5,6,0,0,4,1.0,5.33,6,0.005738
mut_b5cf4a8e,3,0,0,20,6.67,6,7,1,0.47,1.5813,0,0,1,0,30,10.0,8,11,3,1.41,0,0.0,6.0,6,6,0,0,3,1.0,6.0,6,0.006884
mut_cc609402,3,0,0,20,6.67,6,7,1,0.47,1.5813,0,0,1,0,30,10.0,9,11,2,0.82,0,0.0,6.0,6,6,0,0,3,1.0,6.0,6,0.006797
rand_3651852f,4,0,0,20,5.0,3,8,5,2.12,1.871,0,0,1,0,25,6.25,1,16,15,5.93,0,0.0,5.75,5,6,2,0,2,0.5,5.33,6,0.009309
rand_8d177a55,4,0,0,20,5.0,3,8,5,1.87,1.9037,0,0,1,0,25,6.25,3,13,10,3.96,0,0.0,5.75,5,6,0,0,4,1.0,5.33,6,0.008674
mut_9d8d8410,3,0,0,20,6.67,5,8,3,1.25,1.5589,0,0,1,0,30,10.0,6,13,7,2.94,0,0.0,6.0,6,6,0,0,3,1.0,6.0,6,0.00592
rand_3e7c6228,3,0,0,20,6.67,6,7,1,0.47,1.5813,0,0,1,0,31,10.33,9,12,3,1.25,0,0.0,5.67,5,6,0,0,3,1.0,5.0,5,0.00592
mut_2e1f9f5b,3,0,0,20,6.67,6,7,1,0.47,1.5813,0,0,1,0,30,10.0,8,11,3,1.41,0,0.0,6.0,6,6,0,0,3,1.0,6.0,6,0.006522
mut_825aefd0,4,0,0,20,5.0,3,7,4,1.58,1.9261,0,0,1,0,25,6.25,1,11,10,3.7,0,0.0,5.75,5,6,0,0,4,1.0,5.67,6,0.007934
rand_62498473,4,0,0,20,5.0,3,7,4,1.58,1.9261,0,0,1,0,25,6.25,2,12,10,4.02,0,0.0,5.75,5,6,0,0,4,1.0,5.67,6,0.008505
rand_e031d031,4,0,0,20,5.0,3,7,4,1.58,1.9261,0,0,1,0,28,7.0,4,10,6,2.24,0,0.0,5.0,3,6,0,0,4,1.0,4.33,6,0.009002
mut_045b58bb,4,0,0,20,5.0,3,7,4,1.41,1.9406,0,0,1,0,26,6.5,2,10,8,2.87,0,0.0,5.5,5,6,0,0,4,1.0,5.0,5,0.006478
rand_faa6afb9,4,0,0,20,5.0,4,6,2,1.0,1.971,0,0,1,0,25,6.25,3,11,8,3.11,0,0.0,5.75,5,6,0,0,4,1.0,5.67,6,0.008589
rand_2b4c4526,5,0,0,20,4.0,3,5,2,0.63,2.3037,0,0,1,0,20,4.0,2,7,5,1.67,0,0.0,5.6,5,6,0,0,5,1.0,5.25,6,0.006528
mut_ff980ad0,4,0,0,20,5.0,3,6,3,1.22,1.9527,0,0,1,0,26,6.5,3,9,6,2.29,0,0.0,5.5,5,6,0,0,4,1.0,5.33,6,0.009491
rand_8e3762ad,4,0,0,20,5.0,4,6,2,0.71,1.9855,0,0,1,0,24,6.0,4,7,3,1.22,0,0.0,6.0,6,6,1,0,3,0.75,6.0,6,0.009002
rand_de0d5bc4,4,0,0,20,5.0,3,7,4,1.58,1.9261,0,0,1,0,26,6.5,3,10,7,3.04,0,0.0,5.5,4,6,0,0,4,1.0,5.33,6,0.009309
rand_159f2f8a,5,0,0,20,4.0,3,5,2,0.63,2.3037,0,0,1,0,20,4.0,2,6,4,1.26,0,0.0,5.6,5,6,1,1,3,0.6,5.5,6,0.008847
mut_d10211b5,4,0,0,20,5.0,3,7,4,1.58,1.9261,0,0,1,0,26,6.5,4,10,6,2.6,0,0.0,5.5,4,6,0,0,4,1.0,5.33,6,0.01797
rand_9d965ea7,4,0,0,20,5.0,4,6,2,0.71,1.9855,0,0,1,0,25,6.25,4,9,5,1.92,0,0.0,5.75,5,6,0,0,4,1.0,5.67,6,0.006122
mut_97627979,5,0,0,20,4.0,3,7,4,1.55,2.2261,0,0,1,0,23,4.6,1,13,12,4.32,0,0.0,5.0,4,6,2,0,3,0.6,4.25,6,0.019223
mut_bcdd6413,3,0,0,20,6.67,6,7,1,0.47,1.5813,0,0,1,0,31,10.33,10,11,1,0.47,0,0.0,5.67,5,6,0,0,3,1.0,5.5,6,0.00562
mut_4f4d5238,4,0,0,20,5.0,3,6,3,1.22,1.9527,0,0,1,0,25,6.25,1,9,8,3.11,0,0.0,5.75,5,6,1,0,3,0.75,5.33,6,0.007242
mut_c196d1e3,4,0,0,20,5.0,4,6,2,0.71,1.9855,0,0,1,0,26,6.5,5,9,4,1.5,0,0.0,5.75,5,6,0,0,4,1.0,5.33,6,0.00888
mut_8baa8824,4,0,0,20,5.0,3,6,3,1.22,1.9527,0,0,1,0,27,6.75,2,11,9,3.27,0,0.0,5.25,4,6,1,0,3,0.75,4.67,6,0.009309
mut_ab41f538,3,0,0,20,6.67,6,7,1,0.47,1.5813,0,0,1,0,31,10.33,9,12,3,1.25,0,0.0,5.67,5,6,0,0,3,1.0,5.5,6,0.007588
rand_b76992b1,3,0,0,20,6.67,5,8,3,1.25,1.5589,0,0,1,0,30,10.0,5,13,8,3.56,0,0.0,6.0,6,6,0,0,3,1.0,6.0,6,0.005689
mut_1312c4c1,3,0,0,20,6.67,6,7,1,0.47,1.5813,0,0,1,0,31,10.33,9,11,2,0.94,0,0.0,6.0,6,6,0,0,3,1.0,6.0,6,0.006419
