scramble,orientation,cross,pair_fr,pair_bl,pair_fl,pair_br,oll,pll,total_moves
B2 L2 F' L' D R2 U F D' L2 D R U2 R2 L2 U' F B' L B2 F2 L D,x2,D B R F L' B2 D,R U2 B' R B R2,D2 R U2 R' D2,U F2 L F2 L',U2 B U' B',L U2 F' L' U' L U F2 U2 F' L',U2,39
F' L' F' R L2 U2 F B R2 L B' L2 F2 B' R2 U2 R' L2 D L2 F2 L B,x2,F2 U' B L D' L2 F',U2 F R' U R F',B R U2 R' U B',F2 L F L' U2 F,B' U' B L' B L B',B' U' R' U R B,U L U' F R' F' L' F R F' U' L U2 L',52
L2 B' D2 U F' R2 F2 R2 D U B D' L F L' D' F2 U2 L2 R D2 R U' L D,x2,U' L' F U B L',F' D' L' D F,R' U2 R,U2 B2 R2 B2 R2,U R' U R B' U2 B,R' F U F2 U F2 U2 F' U R,L R U2 R' U' R U2 L' U R' U2,47
L2 B' U2 B2 D' B R D' F L2 U' B F2 L2 B U2 D' F R U2 L2 D2,x2,D' R' B' F' L2,D2 R2 D' F' D R2 D2,R' F' U F2 R' F' R2,R2 D B2 D' R2,B' U2 L' B L B,U' B L F U2 F' U L' B' R' U2 R,U B' R B' L2 B R' B' L2 B2 U2,53
F2 B2 L2 D2 R2 F' D2 U2 R U2 B2 D B D2 R2 F B' R F L' B,x2,L' B D' F2 L',F2 D F' U F D' F2,U B U B',U F U' F2 U' F,U' R B' U' R' B,U' L F' U' F2 U' F2 U2 F U' L',U R' U L' U R U2 F R B2 R' F' B2 U L U2,55
B2 L2 U L R2 F' U' D2 R' D R L B' D L2 D U F U' F D' R' D2 L',x2,F' D' L F D2,F U R' F R F2,U2 B U B',B' U B R U R',B2 U' B2 U' B2 U2 B2,U2 F2 R2 B' R2 F' R B2 U2 B' R' F',U2 U' F2 D' L2 U L2 F2 D R2 U' R2 U,53
D' B' L U B2 R' B D2 B' L2 D2 U2 L R B' U2 B2 L' U2 L U' F2 L U',x2,U B F R B L',D' L' U' L D,F' U B2 U' F U B2,U2 B' R U R' B,R' U R2 B' R' U2 B,B' R B R' U2 B2 L' B' L B',U2 L' B R' U2 L F' L R2 D2 R2 F L' R U2,56
B' R2 F' D L' F2 B' R U D' B L2 D2 U2 R2 L' B2 U' F2 U2 B' F R L2 F',x2,F U' R2 B' L' D R,R U2 F U' F' R',U2 B U B',R U2 B U2 B' U R',U' B' R' U2 R B,F R B' R B R2 F',U2 U' F2 D' L2 U L2 F2 D R2 U' R2,49
L F B L2 R' F L B R F2 B' L F B' U2 D R B2 R2 L2 U2 F2,x2,D F' L R2 B L,R' U' F2 R F2,B L U2 L' B',U B' U B R U R',B2 R B R2 U2 R B,U L2 F2 R' F D F' D' R F2 L2,U2 U' F2 D' L2 U L2 F2 D R2 U' R2 U',54
B U2 F2 L B' R' U D' R U2 R' D F B' L U F2 D B F2 R B' F2,x2,R' U' B2 L' F' D,D' L U' L' D,F2 R' F2 U2 R,R U2 B U2 B' U R',B' R' U2 R U2 B,F' U2 R' U' R2 B' R' B2 U' F B',U' B2 R U' L U2 R' U L' R2 B2 R2 U B2 U2,55
