scramble,orientation,fb,2x2x3,EOPair,LXS,co,pll,total_moves
R2 D2 F2 L F' U L F L2 B' L F2 U B U D' B R2 D F' B' D' F' R2 B2,x x,F D2 R2 F2 D B' U B2 L',U L2 R2 D L2,U R,B' F R2 B F' R U2 R',B' R' F R B R' F' R,L' B R' U2 L F' L R2 D2 R2 F L' R U',46
R U' B R2 L' D2 L2 U L' B' L' D2 B2 U2 L' F2 L2 B F' D2,x x,B2 R' U L2 D2 B2 L' B' L,U' L2 R D' L2,U R' U2 R2,F L2 B' R2 B L2 F',U F' L F L' U2 F2 R' F' R F',U U R' L' B' U2 B R L F2 D R2 D' F2,50
B' F R' U' R L B' D F R2 B U' L' B' L B' R B' L2 F' R',x x y,F' L B' F2 R' D2 B' U B',F2 D L D2 F2 R,U L' D L' D' L2,U2 L' U' B2 U2 R' U' L R,U2 L' U2 L2 U L2 U L2 U2 L',U2 F B U2 B' U' B U2 F' U B',51
R B' R2 B L B F' D2 F' R2 F2 L2 U' R F2 U' B R' U' D',x x,B2 U L U' B' R' U' B D',U2 L2 D R2 D L2,R' U R' U R2,U F L2 B' R2 B L2 F',F R2 B' R' B R' F',U F U' F' U2 B L' F' L2 F L B' L' U L U2,51
B R2 F D2 R' L2 B R D B' R' B2 D U2 L U' L D' F D' F' B2 U R' B',x z x,B' L' F' R2 F2 D' R2 B' R D2,U' B2 D B2,F2 R U R' F2,U' L' U' L U R' F2 R,,U' L2 D' B2 U B2 L2 D F2 U' F2,38
R B2 D' R2 L U D2 L' B R U2 L B2 U2 B' F U' F U' B2,x x y,U' F' U F2 L' R F' D R2,F2 R D R' D2 F2,L2 F2 D R D' F2 L2,U B2 R' B2 D' R D B2 R,U' R' F' L' F R F' L F,U' F B U2 B' U' B U2 F' U B' U2,52
R2 L2 B L2 B U' L2 B2 F' L' R' U2 D' R2 F R' B2 D' U' L2 B,x x,B R' F D' B F2 D L' D,U L F2 L',R2 D' U R U R' D,U' B' R U' R U F' B U2 F,U F' L F L' U2 F2 R' F' R F',L2 F2 L B L' B2 R B' R' B2 F2 L2 U',54
D R' U B2 L' D L2 F B2 U2 L2 B' U F D U L F D B' D2 F2 U B D,x x,B D2 R' D U' B D' F2 D2,L2 D L B2 L,U2 R U R2,U B' U R U2 R U2 R2 U' B,,U R2 B2 R F R' B2 R F' R U2 U',40
L U' R' U' D B U' B2 L' B2 U' L U B' F U2 R B' D R',x x,R U2 B' D2 F U' B L' F,L2 D2 R' D L2,U R U' R2,B' R2 U' R2 U B,U' B' R' F R B R' F' R,U B2 D F2 D R2 F D B' D2 F D' B' U',47
R B' F' R2 U' L' R' B R D' U R' D R2 F2 B D B' L2 B2 U2 R',x x,D2 L2 F' D' L D U R B',L2 D' R2 D' L2,R2 D' U' L F2 L' D,R U2 B' R B R2 B' R B,F' L F L' U2 F2 R' F' R F',F' U F U2 F2 U' L' U L F U F U2 U',54
U L' F R U B F' U' F D' U2 B F2 U2 B D2 F' R2 B' D2 F,x x y,D F' U' L' F2 R' B' U F,U F2 D' F2,L U L' U' B2 U2 B2,L' R B2 L R2 U2 R,B' U' R' U R B,B' U B L' R D' B' D L R' U',44
F D2 F' U2 B' R' U D2 L2 D' R B' U' B2 D L2 R' B D2 F,x x y,L2 D' U R' F' D' R2 F' D2,U2 B2 U' F2 D' F2,B2 D' R' U R D,U L' U R' U L' R B2 L2,U L' U2 L2 U L2 U L2 U2 L',U U' R2 D' F2 U F2 R2 D B2 U' B2 U2,53
U' D B R2 L U' D' L' R' D L U2 B' L B2 L2 F R' F B' L U R B F2,z z,R' B' R F' R' U R' B' F,B2 L' U L B2,L2 D L' U' L D',U2 L' U2 L U2 L2 U L',U F' U2 F2 U F2 U F2 U2 F',U L' U R' U L U2 B L F2 L' B' F2 U R U2,54
F' D' B' R' B' R L2 U' L2 D' L' U B' U D B' R' U' L U',x x,L' U R D' L F' U2 F2 L,U2 L' B2 L,U2 R' U R' U' R2,U2 R U' L D' F2 D L' U' R,B' U2 B2 U B2 U B2 U2 B',U' L2 U F' B L2 F B' U L2 U' U',50
