scramble,orientation,eo_line,block_fr,block_fl,block_bl,block_br,co,pll,total_moves
L2 R U R2 F' U L2 B F2 D2 L2 D' U' R2 L2 B' R2 F B2 L' U',x2,U' F R2 D L2 F,R' U' R' U2 L2,L' R2 U R' U' L U2 R U2 R2,R' U' R U R' U R2,L U2 R U2 R' U2 L',B' U2 F' B U L2 U L2 U' L2 F,U2 L2 U F' B L2 F B' U L2 U' U2,58
B D2 F2 R2 F B' R B U' D F2 B2 L F2 L' F D' L' D L',x2,L' B2 D' B' U' L2 F,L U L2 R' U L,U R' U2 R' U' R',,L U2 R' U2 L',U2 R' F' R B' R' F R B,U' F2 U' L R' F2 L' R U' F2 U2 U,45
L F R2 B' F2 D' L2 U' R' D2 F2 D' U' F2 D2 F' U2 F U R L2 U2 D',x2,D2 L2 B' D' U' B',L' R U2 L R',R U R',U2 L2 U R U' L2,L' R U' R U2 L2,R' U' R U' R' U2 R,U F2 U' L R' F2 L' R U' F2 U2,44
R D L2 D' F' R U' L' F2 D F' U2 B L2 F2 U2 F D' U' R2 B L' U2 B,x2,F R U' R B' L' F',,R2 U L D2 L D2,L' U' R' U2 L U2 R,L2 U L' U L U2 L2,U' F' L' B' L F L' B L,U F2 U' L R' F2 L' R U' F2 U2 U,48
U' B' D R' L' D R2 F' L' F' B' D2 B U' B2 U' L D' U F2,x2,B D B' L2 D2 R' B',U L2 U L2,L2 U R2 D2 R D2,L U L' U' R' U' R,R D L U' L' D' U R',U' F' L' B' L F L' B L,U' B2 D' F2 D' L2 F' D' B D2 F' D B,54
R F2 U' L F' U D' L' R' F' B2 U' B R2 U' R2 L' B R' L2 F2,x2,D U' F' R D2 B' D',L' U L U2 L' U' L,D' L' U' L D,R U L2 U R U' L2,D2 L R2 U' R2 D2,R' U' R U' R' U2 R,U2 L' R' U2 L R F U' B U2 F' U B' U,53
B F' D' U F' B L' D' F' U2 D F2 B2 U R2 D L' D F' D2 B' R2,x2,F L F' D',U L U2 L2 U' L2 U' L',U' L' U L U' R U R',R U2 R2,L' U L2 U L',B U' F' U B' U' F,U B' R B' L2 B R' B' L2 B2 U2,46
L' F B' R D2 L' B' L' B2 F U' R' U' B' R L' U' R2 F' U' R L' U B,x2,D' F' L' B F',L2 U2 R' U' R2 U' L2,R U2 L U' L' R',D' R' U' R D,L' U2 L2 U L2 U L,R U R' U R U2 R',U' F2 L2 U' L2 D F2 D' F2 U F2,48
L2 F2 R2 L U D' F2 B2 L U' B D2 B U B' R U2 D2 B2 R F2 D' B' D R,x2,U' L R2 B2 F,R' U L' U' R U2 L,L D U' R U R' D' L',D2 L' U' L R' D2,U' R2 D2 L R D2 R,U' F2 D' B L2 B' D F U2 F,R' U L' U R U2 F R B2 R' F' B2 U L U2,58
F' D' B2 F' R' U L' R U' D' L' B' F2 R L' F L D' R U,x2,F' U2 B L' D' R' F,U L U L2 U' L,L' U2 L' U2 R',L2 D' R' U2 R D,U2 L2 D L' U L D' L2,U' F' L' B' L F L' B L,B' R B' L2 B R' B' L2 B2 U2,51
U' L' U2 B' R2 D R2 U2 R2 B' L' F' U D' F U2 F D L' F' B' D' F R F2,x2,R B' F D B' L' F',R' D R U' R' D' R,L' R U2 L R',U2 L' U L' U R,L2 U' L2 R U L2 R',,L U' F R' F' L' F R F' U' L U2 L' U',46
L2 D2 F' U2 L' F L2 F2 D' U2 L' R' F2 L U2 D2 B' D' U R2 F2 R' L2,x2,B' D2 R' D B' U F,L U2 L U' L U L' U2 L',U L' R U' L R',R2 U2 R2,L2 U L' U L',U' F2 D' B L2 B' D F U2 F,U2 R2 B2 R F R' B2 R F' R U2 U,52
L U2 R2 D L B' F R' D L D U2 F2 D2 F2 U D L D F2,x2,D' F2 L B F',R U' L2 U R' U' L2,L D2 R D2 U R',R' U' R,U' L2 U2 L U L2,U R' F' R B' R' F R B,F2 U' L R' F2 L' R U' F2 U2 U,47
U' D' F L2 R' D2 U L U D' B2 U L2 B L D R B L R' U D L R',x2,F U' B2 L2 F,U L,R U' R',R D2 L2 D2 U R,U R' D2 L U L' D2 U' R,B' U2 B U B' U B,R2 B2 R F R' B2 R F' R U2 U2,43
F2 L' D' U L2 F' B' R' U' R2 B' D F' L2 D B R' U F R2 L2 U2 D' F,x2,F2 R B' F D' R' B',L2 U' L' U2 L2,U2 L R' U L' R2,R' U' R,R' D2 R U R' D2 R,U B' U2 F' B U L2 U L2 U' L2 F,L2 U F' B L2 F B' U L2 U',50
B2 U' R2 F U2 F2 U' R' B U' B2 D L B2 F2 D' R' F' U2 D2 L2 D2,x2,B' L2 U2 F2 R D' B' F,L2 R U R' U' L2,R2 U2 R2 U' R2 U' R2,D U2 R' U' R D' R',U2 R2 D2 U' R' D2,U B' U2 F' B U L2 U L2 U' L2 F,R2 F2 D2 L2 F' B' D2 R2 F' B' U2,57
R' B' L R' D F' B' L' B' D' L' R' B' R' U D2 R2 U2 R2 B' R',x2,U2 R' U F R2 U' B',R' U' L U2 L R,L R D2 R' D2 R,U L D2 L' U' L D2 L',U L U' L',B' U2 B U B' U B,U2 B2 D B' U' F U2 B' U F' U' B2 L2 D' B2 U2,54
U2 R F2 U2 L' D' R2 B L' B2 U D' B2 R2 F2 L' U2 L2 B2 R' B2 F' R2 L B',x2,U L D' R U' B',D2 U2 L U' R' D2 L',R U R2 U R',L' U R' U' L U2 R,L U L',B U' F' U B' U' F,U U' F2 D' L2 U L2 F2 D R2 U' R2,47
L F' L D2 L R' U2 F D' R D U' F L F U2 D2 B2 F U B2 R' B2 F2 D2,x2,L2 R B' D2 B' D',D2 L' U2 R' U' R U' L D2,D2 L D2 R,U' R' U' R,L2 U L2 U2 L2 U' L',R' U' R U' R' U2 R,U B2 D L2 U2 B2 U' B2 U' L2 B2 U2 B2 D' B2,52
B' R2 U F2 B U' B R2 F L2 D' U' B L U D2 B L D R D U' L2,x2,L' F' D2 R B' R2 D,L' U' L U2 R' U2 L2,U' L U' R U L' U2 R',U R,L U2 R U R' U' L',B' U2 F' B U L2 U L2 U' L2 F,U L' U2 L F R U' R' U' F' U' L F' L' F,57
B2 U' B2 F L R B F2 D2 B2 F2 R' L2 D B L' D' F' D' U2 B' D' U2 L',x2,R' F R2 U' B' F,L' U2 L,R U' R' U2 R U R',U' R U2 R2,L2 U L D2 R D2,F' U B U' F U B',U L' B R' U2 L F' L R2 D2 R2 F L' R U2,48
B U R L' D F' L F B' D' U' L2 D B F' U2 F2 D2 B F' L' F' D' B2,x2,B R U F2 U2 F',U2 L2 U' L U' L,U R U R',L U' R U L' R2,L R U2 L',R' F' R B' R' F R B,U2 B' R B' L2 B R' B' L2 B2 U,45
L2 D' B' L U L D2 F L2 F2 L2 R2 B' L' F2 L2 B R2 D R' D2 R,x2,U' R F' L D' R' B',U L' U2 L,L' D2 L R' D2,L' U R' U' R,U' L U L',U2 F' U2 F2 U F2 U F2 U2 F',R2 F2 D2 L2 F' B' D2 R2 F' B',45
F2 B' R2 F' B D F' D' R U R L2 U R L U F2 B2 R' F U R F2 B,x2,R' B F D' R B,U' L2 U L2 U L2,L D2 R2 U L2 R' D2,R' U R,R' D2 R U2 R' D2 R,U F2 D' B L2 B' D F U2 F,U2 B2 D B' U' F U2 B' U F' U' B2 L2 D' B2 U,55
F R2 B D2 L' F B L R2 U2 L' R D2 B' R B2 L B R U2 F,x2,B2 F' L' D2 F',D2 L2 U R D2,D2 R U R' D2,L U L' U' R2,L U L' U2 L U' L',B' U2 F' B U L2 U L2 U' L2 F,U L U' F R' F' L' F R F' U' L U2 L',52
D2 L F' R2 U B' F' R' D' R' U R' U2 R U' B2 D2 R L' D',x2,D F U L' R B' D,L D L' U L D' L',R U R',R2 U R U' R,U L' R U2 L' R',R' F' R B' R' F R B,U B2 D L2 U2 B2 U' B2 U' L2 B2 U2 B2 D' B2,51
D' R' B' D2 B2 U' D2 L2 D' R' U2 D L' D2 L' F' U D' B2 R,x2,L D R' U' B F,L' U' L U L' U' L,U2 R' U2 R2 U R',L' U2 L R' U R,L' R D2 U' R' D2,R' F' R B' R' F R B,U R2 B2 R F R' B2 R F' R U2 U,51
D2 F B' D' F2 D' L R2 F U' F R F L' B D2 U' F U' R2 U2 R,x2,U2 R B D R2 F,L' U2 L,R D2 R' U' L' D2,U2 R' U' R U' R' U' R,L' U R D2 R D2 R2,U' F' L' B' L F L' B L,U F2 L2 U' L2 D F2 D' F2 U F2 U',51
R U2 D2 B2 D' F L U2 L2 R2 F' R2 D' B R2 L2 F B D' U2 L U2 D R,x2,U L R B',U2 L' R U2 L R',R U' R',U' R2 U R' U' R,L2 U' R2 U L2,R' F' R B' R' F R B,U' F2 L2 U' L2 D F2 D' F2 U F2,43
B' F' R2 D U' F2 R2 F U' R2 D' F2 R' U' D F U2 B' R2 F B R2 L' U2,x2,F' D' B' L' F' U' B',L' R2 U' R U2 L,L2 D2 R' D2 R D2 R D2 L2,U2 R' U2 R,U L' U L' D2 L' D2,U2 F' U2 F2 U F2 U F2 U2 F',L' U2 L F R U' R' U' F' U' L F' L' F U',58
R B2 R D' R2 D2 B2 L2 U D L2 F' U2 L2 U' L' R U' B' D2 B D2 B F2,x2,F' L D R F',L2,R2 U2 L U' R',U' L2 R' U R,L2 D L' U L D' L2,R' F' R B' R' F R B,B' R B' L2 B R' B' L2 B2,40
D2 R D L F L' B D R' D2 L D' L' F B2 D' B D' U' B' L B2,x2,L' D L R' B',U2 L2 U2 L' U' L2,D2 R2 U L R2 D2 R,R2 D' R U' R' D R2,L U2 L' U' L U L',U2 R' F' R B' R' F R B,F2 L2 U' L2 D F2 D' F2 U F2 U',52
D2 B' R' D' U' B D' R' B' L R' U' R' U' B' U2 D2 R' L2 F B U' B2 R2 F,x2,B R F' L' B' F' D,R U R' U2 L' U' L,R U2 R' U' R U R',R2 U' L' U2 L R2,L2 R2 U' R' U' L',U2 F2 D' B L2 B' D F U2 F,U' F2 L2 U' L2 D F2 D' F2 U F2,54
U B D' U' L' U2 D L' D2 U2 F R2 U2 B U2 L2 D B F R2 B' F U' R2,x2,R F U2 R2 D B',R' U' L' R U L,R' D2 R2 U' L' D2,L' U R' U' L R,D2 R' U2 R D2 L2,B' U2 F' B U L2 U L2 U' L2 F,L' B R' U2 L F' L R2 D2 R2 F L' R,54
B' R F2 B' R F L F D2 L D U' F2 B R L' U' D B F L',x2,R F2 R U' B' F',R U2 R' U L U L2,L D U' R U R' D' L',R2 U' L2 U' R2,U2 L U' L',F U2 F' U' F U' F',U' R2 B2 R F R' B2 R F' R U2 U2,49
U F2 R' B' L' F2 U2 F' D2 B2 L2 R2 D B' R2 B D U2 B' U B' L' B R2,x2,F2 R' D L F' D,U2 L' U2 L,D' L U L' D R2,L' U L R' U' R,L' U' L R' U R U L2,,U2 U' F2 D' L2 U L2 F2 D R2 U' R2,42
B' D2 U' F2 U2 L' U' R2 L D U' R D2 F R F' R2 L2 D L2 B' D' U R L2,x2,B' U R D' B' F,U R' U2 R' U2 L2,R2 U' L U2 L' R2,L' R' D2 L U L' D2 L U R,D U L U' L' D',F2 D' B L2 B' D F U2 F,F2 L2 U' L2 D F2 D' F2 U F2,53
D' U R U' F2 R' U2 D2 F R' B2 U B2 U2 D R B2 F2 D2 R2 L2 D2 R,x2,B2 R' U F' L' D',L2 U' R U2 L R',R U' L U' L' R',L' U' L' U2 R2,L U2 L' R D' R' U R D R',U F2 D' B L2 B' D F U2 F,B2 R U' L U2 R' U L' R2 B2 R2 U B2,56
U2 L' B' F2 R B2 D F2 D R2 B D2 L2 U B' F' D2 F2 B' U' D',x2,F2 D' L U2 B,L D L' U L D' L',L' D2 R U2 R' D2 L,L' R U2 L R' U2 R,U' L2 U2 L U L2,U B' U2 F' B U L2 U L2 U' L2 F,U2 U' F2 D' L2 U L2 F2 D R2 U' R2 U',57
B' L' U F' L2 U B' R L2 B' R F' D2 L2 F B' L' R F R',x2,D2 F' D R' D F,L2 U2 L U L' U L2,L R2 U L' U2 R',U2 L' U L R' U R,L' U2 L2,U' F' L' B' L F L' B L,U U' B2 D' F2 D' L2 F' D' B D2 F' D B U,53
U B R2 B L U D B F' U' L F2 D2 R' D R2 B F' R' D',x2,L B' U L2 B2 F,U R' U R U L' U2 L2,D2 U' R D2 U R',U2 L R2 U L' U' R2,U L' U2 L2 U L2 U L,R' U' R U' R' U2 R,U R2 B2 R F R' B2 R F' R U2 U2,54
B U' D' B2 D2 L' D2 R' U R2 U2 L U' L2 R2 U2 R2 B' U2 R,x2,D' F' L R D' F',L2 U2 L U' L2 U2 L2 U' L,U L' R U' R',U2 L R2 D2 U L' R D2,L U' L',U' F' U2 F2 U F2 U F2 U2 F',U U' B2 D' F2 D' L2 F' D' B D2 F' D B U',56
B' R2 F2 B2 R2 L' U2 F2 L R' B2 D' F B' U' F' R' F2 B2 U D F' D' R U2,x2,D2 L' B2 L2 U' F',D2 L D2 L R2 U2 R',D' R' U R D,L U2 R U' L' U R',U L' U' L U L' U' L,F2 D' B L2 B' D F U2 F,U' B2 D F2 D R2 F D B' D2 F D' B' U',56
B2 F2 U2 R2 B2 D U2 F2 B2 R' L' B' R' B2 R' B2 F' R L2 F U' R2 F2,x2,F2 D F U' R' D' B',U R2 U2 L U' R',L' R' U2 R,R' D2 L U L' D2 U' R,U L2 D' L U L' D L',R' F' R B' R' F R B,U L' U2 L F R U' R' U' F' U' L F' L' F,56
D' B2 U D2 B F2 U2 B2 D2 U F' R L U D' L R' F L' R2 F' R' U B,x2,D R2 F' U2 R B' D,R' U' L2 U' R',D' R' U' R D,U' L2 U2 L' U' L U' L2,L D' U2 L' D L' D' L2 D,U F2 D' B L2 B' D F U2 F,U' B2 D F2 D R2 F D B' D2 F D' B' U',58
D L2 R D L' B2 F L2 B' U2 D2 F' R' B2 R' U B2 L B2 F2 U L',x2,R B' D2 R F' D',R2 U2 L2 U R2 U' L2,U L' U2 L U' R' U' R,L2 U' L D2 R' D2 L,U L' U L U2 L' U2 L,U2 R' F' R B' R' F R B,L' R' U2 L R F U' B U2 F' U B' U,58
U D R' U' D L' D2 L F2 R2 F' D2 R' F' B' D2 L U R' B F2 R' D2,x2,B' D' F' L2 U B',R' U' L U R2,L U' L2 R' U R,U R' U L2 U' R U L2,L' U' L' U L' U' L,U F' U2 F2 U F2 U F2 U2 F',R' U L' U R U2 F R B2 R' F' B2 U L U',57
D B' R' F U2 B2 L F' B' U' D2 B2 F2 U' F2 U2 F' L' U2 F' B,x2,D F D' R' B' F',L' U' R U R',D2 U2 L D2,U' L U2 L' U L U' L',L D' L U2 L' D,U F' U2 F2 U F2 U F2 U2 F',U2 B2 R U' L U2 R' U L' R2 B2 R2 U B2 U',54
F2 L2 F U2 D2 R U2 L2 B D2 R F L2 F' R' D2 B' R D2 U R F U2 B',x2,D' R2 F R' D,R' U R' U' R2,L U' L2 R' U R,U2 L' U2 L2 U L2 U L,U L' U2 L,U2 F' L' B' L F L' B L,U U' F2 D' L2 U L2 F2 D R2 U' R2 U,50
U' R' U' F2 U2 R2 F' B' R D' B2 F D' R2 U R' L' D2 R2 L' U2 B D' L2,x2,U2 R2 U B F L B,R U' R',R' D L U L' D',U' L U' L2,U2 L' R U L R',B' U2 F' B U L2 U L2 U' L2 F,U2 R' U L' U R U2 F R B2 R' F' B2 U L U',53
B2 U B U F2 U' F2 U R U' F2 L2 F' D F' L U L B L',x2,L2 U2 R' D' R B',D2 U L U L' D2,U' L2 U' R2 U L2,U' L2 U2 L' U' L U' L2,U2 L' U' L2 R U' L2,U2 B' U2 B U B' U B,U' F2 L2 U' L2 D F2 D' F2 U F2 U2,53
D2 U' R' D2 F2 R2 L2 D' F' B' L2 R2 D2 R2 B U2 L D' B' F2 R2,x2,U2 R D2 B' L D,U' R U2 R',R U2 R2 U R2,R' D2 R U2 R' D2 R,U L,,B2 R U' L U2 R' U L' R2 B2 R2 U B2 U',38
D R U2 D2 R B L F' R F' L U D R2 B' F2 L' F2 D' U2 R,x2,R U2 B2 F' D B',R U2 R' D2 U' R' D2,R U2 R2 U' R2 U' R',U2 L U' L',R' U' R U L,U2 B' U2 B U B' U B,B2 R U' L U2 R' U L' R2 B2 R2 U B2,50
D L D R2 U' B R F2 L2 B F2 L2 R2 F U' R2 L2 F2 R' B',x2,U2 F' R F' U' B',R2 U' R2 U' R2,R' U R U R' U' R,R' D2 U L' D2 U L',U R' U' L' U' L R,U R' F' R B' R' F R B,L R U2 R' U' R U2 L' U R',51
U' F' B2 D' R F2 R D U F' B' D' L2 R2 D F2 U2 F' L F',x2,B' D2 L B' U' B',U L U R U L' R',U R2,L2 D L' U L D' L2,L R2 U L' U L2,U' F' L' B' L F L' B L,U2 L' B R' U2 L F' L R2 D2 R2 F L' R U2,52
B L' B U' D' R2 F' R' F' L B' U' B' L U' L R U' F' U' L F' U2,x2,B' U F2 D2 R2 B,U L U R2 D2 R D2,R' U2 R U2 R' U2 R,,R' U2 L U L R,U2 F' L' B' L F L' B L,U2 F2 L2 U' L2 D F2 D' F2 U F2 U',47
R B2 F D' B2 U F R2 U2 D' B2 R F U B D2 L D L' R2 U L2,x2,L F L R2 D' B' F',R U' L2 U' R',U2 L2 R' D2 L' D2,L U2 L U' L',R D2 R' U' R D2 R',U2 R' F' R B' R' F R B,U B2 D B' U' F U2 B' U F' U' B2 L2 D' B2 U,55
B' R D2 F' R F D2 L U2 B2 U' R' D2 U2 L2 R2 B D2 F D R2,x2,L2 B D',U' L2 U R' U' R2,U' R' U2 L U2 L' R,U L U2 L' U2 L U' L',U' L' U2 L' U' L,U2 F2 D' B L2 B' D F U2 F,L' B R' U2 L F' L R2 D2 R2 F L' R,53
F L' U' B L U2 D2 L B' L' F2 R U2 L2 F2 D L' R2 U R' B2 R U,x2,L' B U' F2 L2 F',L' R2 U' L R U R',D2 U2 L' U' L D2,R2 U R D2 L R2 D2,L' U2 L,F' L' B' L F L' B L,U2 B2 D B' U' F U2 B' U F' U' B2 L2 D' B2 U2,53
U L D L' U2 D B2 L2 R' B' D2 R2 D U' R2 B' L F' R2 L,x2,U R' D' R' B' L2 F,U R2 U' R' U2 R',U' R U2 R2 U' R2 U' R',U2 R' U R U L U L',U' L' U' L2,U F' L' B' L F L' B L,U' F2 L2 U' L2 D F2 D' F2 U F2 U2,54
R' F D2 F L' F B R' L2 D L R U' F D2 F B' R' F2 U2 D',x2,D U F R' B',R U L U2 L' U2 R',R' U' L' U' L U2 R,,L' R U2 L R',U2 F2 D' B L2 B' D F U2 F,U2 B' R B' L2 B R' B' L2 B2,44
D R' L2 D2 U F R B U L F2 L2 D' R2 L2 D2 R B2 L D2 B' R' B2 R2 L2,x2,F D B' L B' U F,U R U R',U' R' U2 R U2 R' U' R,L U L',L2 R' U' R' U' L2,U2 R' F' R B' R' F R B,U' L' R' U2 L R F U' B U2 F' U B' U2,51
F D B2 F' D' R D U' B' U2 B2 L2 D' R2 F2 R L2 B2 F' D F U,x2,B2 F U L B' D F,U2 L' U L R U R',U2 R' U' R' U R2,U' L' R U' R' U' L',,U' F' U2 F2 U F2 U F2 U2 F',U' B' R B' L2 B R' B' L2 B2 U,48
L F L' R2 B U' B' U D2 L' F' U D R' L' B D L' D2 L' D2,x2,B' L2 D' F' R' B',R' D2 U R D2 U R',R' U2 R U R' U' R,R' U' L2 U' L2 R,R' U' L' U' L R,F' L' B' L F L' B L,U' L2 U F' B L2 F B' U L2 U' U,52
F U' F L' R2 B2 D' F2 B' L2 F2 D R2 B U D2 B' L B' U' R,x2,R2 U2 B' L D' B' F,D2 U2 L' D2,L' U L R' U' R,L2 D' R' U R D,R' U L' U' R U2 L,F' U2 F2 U F2 U F2 U2 F',F2 L2 U' L2 D F2 D' F2 U F2 U',50
U R' U2 L D R D2 R' D2 U' R' L B' F2 U2 R F L D' B' D2 L' U' L D2,x2,B2 D L F' U' B,U R U2 R' U' R U2 R',D' L R' D' R2 D L' R' D,L U' R U' L' R',L' R U2 L R',U R' F' R B' R' F R B,R2 B2 R F R' B2 R F' R U2 U2,54
U R2 D2 F' R' D U2 F' D' R L F R F R' B2 L B2 D L2 U2 D2 L' R,x2,R2 F' R2 U' R B',U L' R U2 L U' R',L' U2 L R2 U2 R U R2,D2 L R2 U' R' D2,L U2 L U' L U L' U2 L',U2 F2 D' B L2 B' D F U2 F,U2 B2 D F2 D R2 F D B' D2 F D' B' U' U',61
D' F' R2 D2 R' U' L' D2 L' D B' L U2 B2 U' F U' R L B' L2 B',x2,F R2 B' L' U' F',U R2 U' R2,U R' U2 L' U R,L D' L U L' D U2 L,U' L U L',F' U2 F2 U F2 U F2 U2 F',U2 B' R B' L2 B R' B' L2 B2 U,48
R' D2 B2 R F2 R2 L' B2 D F L' F' B' L2 B2 L D2 R' L F' B2 L2 U2,x2,U' F' U' F2 R B',D2 U2 R D2 U' R2,R' U2 R U2 R' U' R,L2 U R' U' L2 R,L U2 L',,R2 F2 D2 L2 F' B' D2 R2 F' B',38
L2 U2 D B2 D U2 B' F' L2 B L' D B D B2 D2 R U2 F2 R2 U2 D2,x2,R2 D2 R F U B,D2 R U L' U' L' D2,D' R' U R D,U' L2 U' L,L2 U2 L U' L' U L' U2 L2,B L F' L' B' L F L',U L2 U F' B L2 F B' U L2 U',50
D U2 L2 D' L2 F B' U L2 D' R' B D B' L' B2 R B2 D' B' L F L U',x2,L' B L' U B2 F',L' R D2 L' R2 D2 R,L' D L U L' D' L,U2 L' U' L,U' L2 U' L2,B L F L' B' L F' L',U,37
L2 D R' U2 R2 D U B F U2 L B2 L F' R' U' D' L2 F' R' D2 B F2,x2,F U' F U2 R' F,L' U2 R' U L' U2 R',R' U2 L U2 L' R,R' U' L2 R,U2 L U2 R U' L' U R',U F2 D' B L2 B' D F U2 F,U2 L U' F R' F' L' F R F' U' L U2 L' U,56
D2 R U' F2 D R' L' U B' U2 B' L' F' U D' B' U' D' L' U B2 F',x2,D2 B U L2 R' D B',R U2 L' U2 R',L U2 R' U R2,L' U L U2 L,U2 L U' L',F' U2 F2 U F2 U F2 U2 F',B' R B' L2 B R' B' L2 B2,44
U R2 L U2 L U2 F B' R2 D L2 R B2 R' B2 D U2 R L' D',x2,R2 B2 D R' B' F' D,U' R2 D2 L U2 R' D2,L' U L2 R' U R,L' U2 L U2 L' U' L,L2 U' L2,B' U2 F' B U L2 U L2 U' L2 F,U' U' F2 D' L2 U L2 F2 D R2 U' R2,53
D F' B U' D' L' F2 R U' B L' F2 B L2 F R B2 F2 R B L2,x2,D B' R2 F' D B,R D U2 R' U' R D',U R' U' R,D2 U2 L' R D2 L',U' L U2 R' U2 L',R' U' R U' R' U2 R,U B2 D B' U' F U2 B' U F' U' B2 L2 D' B2 U,52
F2 R L2 D' R' F' R2 L' B D B2 D' F B R2 F2 U' D2 R' B2 L' D,x2,L B2 R' D R' B',L D U' R U R' D' L',R2 U R' D2 L' R' D2,U' R' D2 L2 R' D2 R2,L U' L',B' U2 F' B U L2 U L2 U' L2 F,U' R2 B2 R F R' B2 R F' R U2 U',54
F L' D F' D' F' L F R2 U R2 D F B' L' F U2 F' L' R2 F' U' F2 D B',x2,L U F D2 R' B',R U R2 U R' U2 R2,L U' R' U' L' R,U2 L D2 R D2 L',U2 L U L',F' U B U' F U B',U R' U L' U R U2 F R B2 R' F' B2 U L U2,52
D2 B' U D2 F2 R2 D' U' L B U' R2 D2 R' B2 D2 U2 B' F' D' L2 U R2,x2,R' B' L B' F',R D2 L U' L' D2,L U' R' U L' U R,L' U' L U L' U' L,U' L' U L',U B' U2 F' B U L2 U L2 U' L2 F,U2 B2 D F2 D R2 F D B' D2 F D' B' U' U2,56
L F L2 D F D2 U2 L' R' U2 L2 D B R2 U R U' R U R',x2,U' F' L2 U B,U R2,L D2 R' U' R D2 U L',D2 R' U2 L' D2 U L2,L U2 R' U' R U' L',R' U' R U' R' U2 R,U2 F2 U' L R' F2 L' R U' F2 U2 U2,48
U2 D' L F2 B U L U2 D' R B' R U' L' F' R' B D' U2 R' B' U B',x2,F D L F' R2 B,U' L R' U2 L' R U R2,R' U R,D2 L R2 D2 U' L2,U L U L',R' U' R U' R' U2 R,U' B2 D F2 D R2 F D B' D2 F D' B' U' U',49
F R2 B' U2 F2 D B2 D' R' D' F D' L F D' U L' B' R' F2 R U2 R,x2,L2 B' R2 D' U B',U' L' R U2 R2,U2 R' U2 R,U L2 D' L U' L' D L2,U R U' L U R' U2 L',U' F' U2 F2 U F2 U F2 U2 F',B2 R U' L U2 R' U L' R2 B2 R2 U B2 U,55
B2 L' R2 B' R L2 D2 L U R B D' B R2 U D L2 R D2 B R U2 R,x2,U F2 R2 U B',U2 R U R',R2 U R' U' R,R' U L' U2 L2,U2 L' D2 R' D2 L,R U R' U R U2 R',B' R B' L2 B R' B' L2 B2 U',42
B2 D2 L2 F U B' F' U2 B D2 F B2 U2 L D' L B' F' R L,x2,L D' R F' L2 B,L' U2 R' U' L U' R',U2 R U2 R2 U' R2 U' R',U2 L' U' L,U' R2 D2 L R D2,R B L' B' R' B L B',U2 L U' F R' F' L' F R F' U' L U2 L',53
D2 B' L D' U' L' R U2 D B' R F U2 L' U' R D2 L2 D' L',x2,D' R B L2 F',L' R' D2 L R' U2 L' D2 L,U2 L R' U2 L' R,U' L2 U' L,U2 L U L',U F2 D' B L2 B' D F U2 F,B2 D L2 U2 B2 U' B2 U' L2 B2 U2 B2 D' B2 U2,53
R' F2 R2 B' L U2 F' R2 D2 U B2 R' D' U R F B' R2 L' F',x2,D F D F',,L R' D2 L' R D2,U L2 D' L U2 L' D,U R' D2 R U' R' D2 R,U B' U2 F' B U L2 U L2 U' L2 F,U L R U2 R' U' R U2 L' U R' U,49
L D R L B2 R F2 R2 B' R L B F2 R2 D2 U2 F L F' U' R2 D',x2,D B' R' B' D2,R' U' R2 U2 R',R' U2 R,L U' R' U' R U' L2,,R U R' U R U2 R',U L2 U F' B L2 F B' U L2 U' U,39
B' D2 B' L F' B' D' R U B' F' D L' D2 L' B R2 B2 R U B U2 B R B',x2,B2 L' R B L' D F',D2 U L' U R' D2,R D R' U R D' R',U R' U R U2 L,D' U2 R' U' R D,B U' F' U B' U' F,R2 B2 R F R' B2 R F' R U2 U2,50
D' R2 B2 D2 B' L' D' U R' F2 D2 U2 L B F2 R' L B' U F' B2,x2,R2 F D2 L D R' B',U' L U R U L' R',D2 R' U2 L R' D2,U' L,R U' L U L' R',F R B R' F' R B' R',U' R' U L' U R U2 F R B2 R' F' B2 U L U2,52
F' D' F' L B' F L' R' U2 D L2 F' L2 R2 D' R' F2 L D2 F U2 D2,x2,D B' F L D' R' B',L' D2 R U R' D2 U' L,R D' R U' R' D,U' L U2 L,L U' R2 U R' U' L',U F' U2 F2 U F2 U F2 U2 F',U2 L' U2 L F R U' R' U' F' U' L F' L' F U2,58
F B' U2 L2 D B2 F2 R' B2 F2 R' L' F' D2 F' D B' F2 R2 D' F R' L2 D,x2,D2 L U' B' R2 D,R' U2 L' U2 R',L D2 L' U' L D2 L',U2 L' U' L,L' U R' U2 L' R,F U2 F' U' F U' F',U' B' R B' L2 B R' B' L2 B2 U,46
L2 R' B' U2 D2 F2 D L B' F R' F U2 D' B' U2 L' R F2 L,x2,R2 F' L2 D U B',U' R U2 R' U2 R U2 R',L R' U2 L' R,D2 R U2 R D2,L R2 U' L' U R2,F U2 F' U' F U' F',U2 B2 R U' L U2 R' U L' R2 B2 R2 U B2 U,52
B2 F D2 U' B U' F' R' D2 L D B2 L U2 F2 D L2 F' U2 L2 D R F L R,x2,U R2 F L2 R B',R' U2 R2 U R2 U R,L D2 R D2 U R2,L' U L U2 L' U' L,R U2 L U L2 R',R B' R' F R B R' F',U' L' B R' U2 L F' L R2 D2 R2 F L' R U,55
