scramble,orientation,eo_line,block_fr,block_fl,block_bl,block_br,co,pll,total_moves
B2 F2 R' F2 R F2 R F2 D L R U2 B' L2 B L R' F U B',x2,L' D2 B D' F,R U' L U' L' R',U2 L,R' U L2 U' R U L2,U2 L R2 D2 L' D2,,F' L F L' R' F L R' F L' F' R2 U2,39
U F2 D' B' F' U2 L2 U2 B U L2 D' F B' R' U2 F2 D L2 B,x2,D' F' L' B F,R' U L' U' L U2 R2,L' U' L U' L' U' L,U' L' R U L2,U L' U' L R' U' R,F' U B U' F U B',F2 U' L R' F2 L' R U' F2 U2 U',49
L2 B2 D2 L R2 U2 B' D' U2 L F' R B2 L F L2 F R2 B' L,x2,B U' L F' R' B',R' U' L U L' R2,L U2 L2 U' L,L2 D' R D L2 D' R' D,U R' U2 R,F2 D' B L2 B' D F U2 F,B' R B' L2 B R' B' L2 B2,47
F2 L R' F2 B' R2 U R U' L2 R2 B' L U' D' F L B' D' F' R' L U,x2,F D' R F' D,R' U L' U' L U2 R2,L2 D' L U' L' D L2,U L' U2 R U' L',,U F' U2 F2 U F2 U F2 U2 F',B2 R U' L U2 R' U L' R2 B2 R2 U B2,48
U L' B L D2 L' D F2 U2 F' L2 R U2 D2 L B2 D2 U B L D',x2,F' D' L' B' U F',U' L' D2 L' R D2,U' L U2 L2 U' L2 U' L',U2 L' U2 L U' L',U' L R' U R,,U2 B2 D F2 D R2 F D B' D2 F D' B' U' U2,46
D' R' F' L' F D F2 B2 L2 B' R D B' D2 F' D2 U' B' L D' B2,x2,R' F L' D B,D2 L R U2 L' R2 D2,L U L2 U L2,L U2 R' U' L' R,R2 D' R U' R' D R2,U2 F' L' B' L F L' B L,U2 B2 D F2 D R2 F D B' D2 F D' B' U' U,54
U D' L R' F2 D' F' R B' R' F2 R F D2 U L' B2 L' U' L' F' D L' F,x2,U2 R B2 F' D' B',D2 L U' R U' R' U2 L' D2,L' U' L,U L U2 L' U2 L U' L',L2 U R' U' R,B' U2 B U B' U B,B2 D F2 D R2 F D B' D2 F D' B' U',51
U' F' R' F2 B U' F B' L2 U' R' F2 B2 D U2 B' L' F2 B D R' L' B F2 U',x2,F2 U' L F' D' R2 B',U' R' U' R' U' R2,U L U L,R2 U2 L R U' R U' L',,U' F' U2 F2 U F2 U F2 U2 F',B' R B' L2 B R' B' L2 B2 U,45
B' U2 B' D' L2 F' R' U F2 L' R' U' L U D2 L' R' F D2 F2 L' B F2,x2,U F' R2 U' R' B' F,U' L U' R U L' R',D R U' R' D',R U L2 R',L' U L U R' U2 R2,F2 D' B L2 B' D F U2 F,U' L' R' U2 L R F U' B U2 F' U B' U',53
L R2 U2 F2 L U L2 R2 F2 L' D2 L2 D2 F B2 R L2 B' U2 L' F',x2,F' U R B',R U' R',U2 L' U2 R U2 L R',D2 L R U' R' D2,U' R2 U' R U R2,B U' F' U B' U' F,L U' F R' F' L' F R F' U' L U2 L' U,47
