scramble,orientation,fb,block_fl,block_bl,cmll,eo,L6E,total_moves
B' U' L' U L' R' U L2 D R' B2 R' U2 L2 D L' R U2 F' D,x2,L2 D' U2 L B2 D' U' F,l2 U' L U2 L2 U l2,l U2 l U L' U L U2 l2,U2 R' F2 L F2 L D' L' D L' R U,,U2 M U2 M' U M U2 M' U,45
L2 D R2 L2 F' R2 L' F2 R' F' R' B2 D R2 L' U' F D' R2 L' B D2 F,x2,U' B D2 F L2 B2 U2 R' B',l U2 l' L' U' L,U2 l U2 l' U' L U L',F R B' R' F' R B R',,U' M U2 M U M' U2 M',39
F L' R U2 L' U L2 U L' F' U' B' F2 U2 R2 L' F2 U' R2 F2,x2,D' B L' D' F R' F U B,L' U' l2 U l2 U L,l2 L2 U l2 L' U' L',B2 D F' L2 F D' B' U2 B' U2,,M' U2 M U M U2 M' U',41
F R2 D2 B' F' D2 R L F U' B R2 U' B2 R D R B2 L' F,x2,L2 B2 D' R' F' U2 L' R B',L U' l' U2 l U' L2,U L2 U2 L' U' L U' L2,U' F R F' L F R' F' L' U U2,,U2 M U2 M U M' U2 M' U,44
F' L B2 U' F2 R2 D F R D2 F2 D' F2 D' U2 R' U' F L R B' R U,x2,F' L' U R' B2 D' F' U' B2,L2 U l2 L' U l2,U L U l' U2 l U' L',B' R2 D L2 D2 F' D R2 D L2 D' B U2,,M' U2 M U M' U2 M U',44
F D2 U2 L' F2 B' U R D U2 L D L' R' U' L U2 L' D' L' B' U' B L U2,x2,B' R2 U' R2 D' B R B2 F',U' L2 U L U2 L,U2 l2 L' U' l2 L2 U' L',U' R' U' F U F' R U F U2 F' U,,U2 M' U2 M' U M2 U' M' U2 M U2,46
U F L' F L D F' R U R F L B U2 D2 L2 U' D' F' U2,x2,U' F2 R U2 F D' B2 L' B D2,L U L' U2 L U L2,l U2 l L' U' l2 L,U2 R' F2 U F2 U' F2 U' F2 R U',,U M U2 M' U M' U2 M' U' M2 U',46
D' U' B' D2 L D' U F2 U2 R L F2 R' B2 F2 U F D U' L' D' U2 B D',x2,U B F' U2 L B' R U F,l2 L U' l2 U L,l U2 l' L U L',U2 F U2 F2 L F L' F U' R U' R' F' U2,,M' U M2 U2 M2 U M,42
U D' R' D B F U' B D R' F' D2 R2 U D2 R2 U2 L' D2 F U F' D2,x2,R2 B' F' U' B2 R B2 R2 D F,l2 U2 L' U l2 L' U' L2,l U2 L' U2 L U2 l',B' U' B U' B' U2 B,,U2 M U2 M' U M2 U M U2 M,42
L R' U2 B' U' B' L U2 D F2 U' R D L B D B' R' D2 B2 F2,x2,D2 L2 U F U2 R2 D',L2 U L2,l2 L' U' l2 L2 U L',U' F U2 F2 L F L' F U' R U' R' F',,U M' U2 M U,35
R L' B2 U' L F2 B2 R2 B U' D2 R2 B D F2 U R' L F' U2 F,x2,R B' U B R' B2 L' D' F',L' U2 l2 U2 l2,L U2 l2 L2 U l2 L,U' L' R' U L U' L F2 L' U' F2 U R U2,,U M2 U2 M2 U,40
U2 F2 B' D2 F' D' R2 L' U D R2 U F U' B R2 U2 F' U' B' R F' L' F' R',x2,B2 L R F2 U' L' U' B' R',L U2 L' U2 L U L2,l U2 l' L U L',U2 U R' F2 U F2 U F2 U' F2 R,,U2 M U2 M',37
R2 F2 B R2 D B' L2 U2 R U' L D R2 B' R L2 F2 D' B' D U2 L,x2,U2 F2 D B U' L' U B2 F',U l U2 l U' l2 U' L2,L U' l' U2 l U L',F R F' L F R' F' L',,U M U M2 U2 M2 U M' U',41
R D' R' F D2 L R B R2 B' L2 D' U B' L F' D' L2 D2 R' B L2,x2,B L2 B2 U B' L2 R B',l2 U' L' U2 l2,l2 U2 L' U' L U' l' U2 l',U F R' F D2 B' L B D2 F2 R U,,U2 M' U2 M U M2 U M U2 M,44
D2 F' D' F D2 U2 L2 D2 F R2 L U' R2 L2 U F L U D' L2 U L U',x2,R B L' R' B2 R' B' U' R,U L U' L2,l U2 l U L' U L U2 l2,U,,U M2 U2 M' U2 M U' M2,31
U' L2 F R2 L' F R F L B' L' D U' L' B' F L2 R U2 R',x2,U' R' B2 L U' L2 R' U2 B',U2 l2 L' U L' U l2,L U L' U' L U L',U' B' R B2 L' D' L' D L2 B2 R' B,,U2 M' U2 M U M2 U M' U2 M',45
B2 F2 R' F R D B' L2 F2 R' L' F' U2 B2 U2 R B' L' D2 U',x2,D B2 F D' B D R' F' D,l U2 l' U' L U' L,,U R' F2 L F2 L D' L' D L' R U,,U' M U2 M' U' M2 U' M2 U,37
